pruning Threshold,Gamma,Delta,Lapse Rate,PassCoeff,Weight0,Weight1,Weight2,Weight3
3,0.0055,0.2,0.02,0.99999,0.17814,0.68676,0.4,2.5,9.5775
4.7048,0.47066,0.34341,0.02395,1.4975,0.67879,1.3955,0.25788,6.887,13.025
2.985,0.02077,0.23404,0.01492,0.95158,0.64488,1.0077,0.32795,3.7547,7.0719
4.7414,0.01327,0.22899,0.01,1.6809,0.27649,0.44463,0.61712,1.6252,14.248
6.4632,0.005,0.2427,0.02107,1.1751,0.43932,0.48067,0.2937,3.7703,16.744
2.8389,0.00667,0.34658,0.02,1.1667,1.0667,0.50709,0.3,3.3333,15
3.2261,0.00407,0.23038,0.02232,1.1015,0.31883,0.69564,0.58696,2.7029,9.3623
8.9366,0.00701,0.40324,0.01137,1.7228,1.2142,0.35822,0.12947,4.3966,10.94
1.7448,0.02252,0.2,0.02846,1.0226,-0.26625,1.0482,0.34074,2.1328,17.037
4.0039,0.00735,0.3,0.03,1,0.4581,1,0.3,3.3333,30
4.6953,0.01865,0.33802,0.02207,1.0904,0.59695,0.28619,0.2898,3.6843,14.174
5.0511,0.00367,0.29876,0.02035,1.0093,0.43655,0.78442,0.29731,2.4697,11.805
0.1,0.0161,0.21696,0.02206,0.51912,0.32808,0.93395,0.46678,3.7312,15.822
8.6667,0.01069,0.37778,0.01954,1.0367,0.71928,1,0.3,4.658,11.677
0.1,0.001,0.2115,0.02,1,0.8,0.81802,0.16628,2.5,15
1.464,0.01389,0.16425,0.02879,0.77362,0.60878,0.88713,0.73042,3.4476,16.053
0.84579,0.00497,0.19461,0.01838,0.66296,0.40277,0.97366,0.3089,2.5461,20.035
8.45,0.01046,0.63639,0.01113,1.4305,0.33981,0.44213,0.20208,4.2865,23.494
5,0.01,0.21111,0.01,0.5,0.4,1,0,3.5,18.333
3.6448,0.01382,0.28468,0.02012,0.98031,0.60952,1.0751,0.60399,4.9893,15.049
3,0.01118,0.20036,0.02,0.25,0.6169,0.04728,0.3,2.5,15
1.0606,0.0264,0.2,0.02,0.95833,0.466,1,0.3,2.5,15
3.55,0.01114,0.2,0.02,1,0.8,0.72045,0.66667,2.5,15
1.2451,0.001,0.31965,0.01626,1.0111,0.97422,0.8226,0.51336,2.4676,15.148
5.275,0.015,0.3,0.02,1.1255,0.68178,0.99999,1,2.5,15
1.0667,0.001,0.25249,0.0201,0.99564,0.8003,0.93053,0.29942,2.7475,19.96
7,0.01891,0.1,0.015,1.879,0.8,0.63367,0.4,2.5,15
6.236,0.00367,0.40097,0.01756,1.0137,0.79951,0.67907,0.29921,3.5483,7.0633
2.9362,0.00392,0.20073,0.04405,0.49566,0.45466,0.64779,0.60565,7.7565,36.583
5.0137,0.00846,0.20001,0.03295,1.004,0.63902,0.598,0.4974,2.5081,11.709
1.0281,0.001,0.02829,0.01,0.5625,0.58315,0.5,0.625,2.7593,6.8246
4.0248,0.00619,0.18133,0.01576,0.5,0.2074,1.812,0.26331,3.9059,20
5.0016,0.00399,0.14966,0.01,0.999,-0.04881,0.84234,0.22343,3.7299,15.009
1.7103,0.00548,0.3,0.03248,1,0.8,0.8,0.3,3.5,15
3.3605,0.007,0.17697,0.02129,0.50058,0.39461,0.93095,0.4406,5.9607,16.605
3,0.005,0.20089,0.02,1,0.55113,1,0.4,3.4777,6.9039
1.6253,0.01,0.30707,0.01,0.5,0.8,0.75471,0.6,5,19.636
2.5071,0.00437,0.19946,0.02108,0.65293,0.67476,0.82245,0.3968,2.4931,15.039
8.0006,0.007,0.2199,0.02,0.99988,0.79988,1.0001,0.29991,3.4873,14.999
3.3318,0.001,0.11146,0.0184,0.84756,0.31976,0.82293,0.37537,2.5552,7.6781
8,0.001,0.18889,0.01891,0.99691,0.60775,1,0.61729,2.779,15.926
4.5288,0.001,0,0.03,0.25,0.8916,1.0177,0.36289,3.1576,10.76
3,0.01,0.18578,0.02,1,0.8,1,0.3,2.5,15
5,0.01,0.1,0.03,1,0.8,1,0.5,2.5,15
5,0.005,0.2,0.01,0.25,0.48243,0.99999,1.4696,2.5,15
5,0.004,0.2,0.02,0.95433,0.90396,1,0.3,3.3333,15
6,0.001,0.4,0.02,1.5,0.8,-0.37472,0.3,2.5,15
0.1,0.00269,0.1254,0.02,0.5,0.79999,1,0.41723,3.309,30
6.8501,0.001,0.50609,0.01,1.2752,0.24996,0.42065,0.18801,3.7225,18.999
1.7298,0.01999,0.20729,0.02001,1.0558,0.39979,0.79974,-0.08847,3.9571,22.22
5.85,0.005,0.30362,0.02,0.67594,1,1.0085,0.78037,5,30
2.1842,0.00396,0.15959,0.02642,1,0.77574,0.86667,0.31111,2.8503,15
8.5,0.00789,0.2,0.02304,0.99999,0.42663,0.69097,0.4049,5,8.7264
4.7278,0.01,0.1,0.02073,0.25,-0.14747,0.8,1.1722,3.5,13.333
3.5396,0.001,0.07605,0.02001,0.85193,1.1866,0.99891,0.2176,2.2254,29.989
9.5,0.01022,0.2734,0.02,1.6405,0.48391,0.65803,0.3,3.9069,58.744
4.0855,0.00369,0.15455,0.01079,0.96848,1.5643,1,1.0617,3.2346,17.222
3.2486,0.001,0.2,0.01,1,1.0667,1,0.3,2.5,10
3.5577,0.00891,0.20169,0.03,1,0.63423,0.61971,0.3,2.5,20
2.9129,0.00748,0.30319,0.02934,0.7165,0.65617,1.0447,0.32903,6.5387,17.373
3,0.00661,0.24444,0.02,0.66843,0.51065,1,0.66667,3.3333,15
3.2,0.00733,0.26831,0.01083,1,0.88889,1,0.05993,3.8889,16.616
3.0067,0.00498,0.20137,0.01,0.80765,0.61767,0.61205,0.29778,4.6744,20.031
3.743,0.009,0.04807,0.01,0.25,1.0208,1.682,0.42443,4.2084,17.25
7.6222,0.001,0.3,0.01711,1.9028,0.8,0.09128,0.5,2.5,10
2.998,0.0052,0.24639,0.01754,0.90991,0.38357,0.89131,0.34356,3.3315,15.008
5,0.001,0.4,0.0229,1,0.8,1,0.3,2.5,20
7,0.00593,0.23259,0.02,1,0.53334,1,0.3,5.3377,15
7.0295,0.00226,0.29075,0.01,1.1255,0.63994,0.92353,0.28222,4.9743,19.713
4.0863,0.00496,0.27775,0.02004,0.67868,1.6717,0.99497,0.29673,4.6866,24.98
